game_name,reviews_like_rate,all_reviews_number,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads,release_year
F1® 25,88,394,2025-05-30,Codemasters,"Driving, Sports, Simulation",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America",59.99,"Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, VR Supported, Steam Workshop, In-App Purchases, Steam Cloud, HDR available, Family Sharing",0,3.8,4,18,30800,2025
Dead by Daylight,79,578396,2016-06-14,Behaviour Interactive Inc.,"Horror, Survival, Stealth",win,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish",14.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,3.42,4,65,301000,2016
RoadCraft,72,5134,2025-05-20,Saber Interactive,"Simulation, Building, Driving",win,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Polish, Portuguese - Brazil, Russian, Czech, Korean, Arabic, Turkish, Japanese",27.99,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,3.2,3,26,325900,2025
Football Manager 2024,90,13439,2023-11-06,Sports Interactive,"Simulation, Sports, Management, Strategy","win, mac","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish",39.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.43,4,73,1340000,2023
R.E.P.O.,96,147407,2025-02-26,semiwork,"Early Access, Horror",win,English,5.79,"Single-player, Online Co-op, Steam Cloud, Family Sharing",10,3.58,4,54,12950000,2025
Detroit: Become Human,95,143663,2020-06-18,Quantic Dream,"Story Rich, Visual Novel",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Swedish, Turkish, Dutch, Russian, Traditional Chinese, Simplified Chinese",31.99,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",17,4.01,2,18,5590000,2020
HELLDIVERS™ 2,77,730995,2024-02-08,Arrowhead Game Studios,"Shooter, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Spanish - Latin America, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese",39.99,"Online Co-op, Steam Achievements, In-App Purchases, Family Sharing",17,3.94,4,77,55220000,2024
Apex Legends™,67,993928,2020-11-05,Respawn,"FPS, Action, Survival",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Arabic",0.0,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases",13,3.5,3,65,93560000,2020
World of Warships,77,146455,2017-11-15,Wargaming Group Limited,"Shooter, Action, Tactical, Simulation, Realistic",win,"English, French, German, Czech, Japanese, Polish, Russian, Thai, Turkish, Spanish - Spain, Korean, Portuguese - Brazil, Traditional Chinese, Italian, Simplified Chinese, Ukrainian, Dutch, Spanish - Latin America",0.0,"MMO, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud",13,3.68,4,64,18470000,2017
Tom Clancy's Rainbow Six® Siege,84,1188329,2015-12-01,Ubisoft Montreal,"FPS, Tactical, War",win,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thai",15.99,"Single-player, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",17,3.95,4,70,54370000,2015
eFootball™,47,91979,2021-09-30,KONAMI,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Indonesian",0.0,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, In-App Purchases",0,3.75,3,51,6830000,2021
Dying Light 2 Stay Human: Reloaded Edition,79,145521,2022-02-04,Techland,"Open World, Horror, RPG, Survival",win,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Arabic, Czech, Japanese, Portuguese - Portugal, Simplified Chinese, Traditional Chinese, Turkish",46.0,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",17,3.45,3,46,6400000,2022
Drive Beyond Horizons,80,5599,2025-03-24,Drive Beyond Horizons,"Early Access, Adventure, Action, Simulation, Driving",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Arabic, Korean, Russian, Simplified Chinese, Portuguese - Portugal, Spanish - Latin America",12.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",10,3.23,3,25,603200,2025
"Warhammer 40,000: Space Marine 2",83,118194,2024-09-09,Saber Interactive,"Action, Adventure, RPG, Shooter",win,"English, French, Italian, German, Spanish - Spain, Russian, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian, Thai",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.8,3,19,6230000,2024
Total War: WARHAMMER III,72,83564,2022-02-17,CREATIVE ASSEMBLY,"Turn-Based, Strategy, War, Fantasy, Tactical","win, mac, linux","English, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",49.99,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.88,4,79,3700000,2022
Clair Obscur: Expedition 33,95,69546,2025-04-24,Sandfall Interactive,"Turn-Based, Combat, Story Rich, Fantasy, JRPG, Souls-like, Adventure",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",34.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,4.41,4,51,3020000,2025
Left 4 Dead 2,97,732065,2009-11-17,Valve,"FPS, Action, Survival, Horror","win, linux","English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",5.79,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline",17,4.01,3,40,65370000,2009
Black Desert,75,58929,2018-05-17,Pearl Abyss,"MMORPG, Open World",win,"English, French, German, Spanish - Spain, Japanese, Russian, Thai, Turkish, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America",4.99,"MMO, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases",13,3.31,3,68,3930000,2018
DayZ,77,355731,2018-12-13,Bohemia Interactive,"Survival, Open World, FPS, Adventure, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil",59.99,"MMO, Online PvP, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud",17,3.48,4,67,15000000,2018
Tainted Grail: The Fall of Avalon,87,8013,2025-05-23,Questline,"Adventure, Open World, RPG, Fantasy",win,"English, Polish, French, German, Traditional Chinese, Simplified Chinese, Italian, Spanish - Spain, Czech, Japanese, Portuguese - Brazil, Russian",20.99,"Single-player, Steam Cloud, Family Sharing",17,3.4,3,29,335200,2025
VRChat,75,239795,2017-02-01,VRChat Inc.,"Anime, Simulation, Open World, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",0.0,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, In-App Purchases",0,3.41,1,54,27550000,2017
Schedule I,98,184389,2025-03-25,TVGS,"Early Access, Simulation, Action, Open World",win,English,10.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",13,3.0,3,43,6990000,2025
Forza Horizon 5,88,206719,2021-11-09,Playground Games,"Open World, Driving, Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",32.78,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",0,3.98,3,62,6970000,2021
Marvel Rivals,79,283753,2024-12-06,NetEase Games,"Shooter, Action, Strategy",win,"English, French, Italian, German, Spanish - Spain, Russian, Turkish, Thai, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Korean, Japanese, Polish, Portuguese - Brazil, Arabic",0.0,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",13,3.38,3,27,26240000,2024
Limbus Company,83,62292,2023-02-27,ProjectMoon,"Story Rich, Turn-Based, RPG",win,"English, Japanese, Korean",0.0,"Single-player, In-App Purchases",17,4.07,4,45,2310000,2023
NBA 2K25,59,22284,2024-10-28,Visual Concepts,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese",69.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, In-App Purchases, Steam Cloud, Remote Play Together, Family Sharing",0,3.5,3,65,1630000,2024
Tom Clancy’s The Division® 2,77,19554,2023-01-12,Ubisoft,"Open World, Shooter, Action, RPG",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",23.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Captions available, In-App Purchases, HDR available",17,3.92,3,63,1390000,2023
ELDEN RING,92,764598,2022-02-25,"FromSoftware, Inc.","Souls-like, Open World, Fantasy, RPG",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Arabic",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.2,4,80,42760000,2022
Mount & Blade II: Bannerlord,87,204795,2022-10-25,TaleWorlds Entertainment,"Strategy, Open World, RPG, War",win,"English, Simplified Chinese, Turkish, Traditional Chinese, French, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, German",19.99,"Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",17,3.91,3,73,10820000,2022
Warframe,87,618991,2013-03-25,Digital Extremes,"RPG, Shooter, Action",win,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainian, Thai",0.0,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, HDR available",17,3.79,3,79,52890000,2013
Euro Truck Simulator 2,97,657017,2012-10-18,SCS Software,"Driving, Simulation, Open World, Realistic","win, mac, linux","English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese, Catalan, Lithuanian, Serbian, Slovak, Slovenian",10.09,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,3.99,3,80,41660000,2012
Sniper Elite 5,83,17456,2022-05-26,Rebellion,"Stealth, Action, FPS",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",49.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Family Sharing",17,3.57,3,24,2290000,2022
Blazing Sails,88,7460,2023-11-13,Get Up Games,"Combat, Open World, Survival",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Polish",7.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards",10,2.5,3,4,404500,2023
THRONE AND LIBERTY,68,63378,2024-10-01,NCSOFT,"MMORPG, Open World",win,"English, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Spanish - Latin America, Korean",0.0,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",13,3.5,2,47,4300000,2024
The Elder Scrolls® Online,82,127548,2014-04-04,ZeniMax Online Studios,"MMORPG, Open World, Fantasy, Action","win, mac","English, French, German, Russian, Spanish - Spain, Simplified Chinese",11.99,"MMO, Online PvP, Online Co-op, Steam Trading Cards, Captions available, In-App Purchases, HDR available, Family Sharing",17,3.42,3,73,9270000,2014
9 Kings,93,2678,2025-05-23,Sad Socket,"Strategy, RPG, Roguelike, Fantasy","win, mac","English, German, Simplified Chinese, Traditional Chinese, Korean, Japanese, Portuguese - Brazil, Portuguese - Portugal, Spanish - Spain, Spanish - Latin America, French, Italian, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Norwegian, Polish, Romanian, Russian, Swedish, Turkish, Ukrainian, Filipino, Malay, Slovak",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.57,4,20,179600,2025
DOOM: The Dark Ages,86,13350,2025-05-15,id Software,"Action, FPS, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Japanese, Turkish",49.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",17,3.88,3,21,649500,2025
The Planet Crafter,96,50216,2024-04-10,Miju Games,"Open World, Crafting, Building, Survival, Automation",win,"English, French, German, Spanish - Spain, Simplified Chinese, Russian, Polish, Portuguese - Portugal, Korean, Japanese, Portuguese - Brazil, Italian, Traditional Chinese, Turkish",12.49,"Single-player, Online Co-op, Steam Achievements, Family Sharing",0,3.92,3,41,1730000,2024
The Last of Us™ Part II Remastered,90,14704,2025-04-03,Naughty Dog LLC,"Story Rich, Shooter, Action, Stealth, Horror",win,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Croatian",49.99,"Single-player, Steam Achievements, Steam Cloud, HDR available, Family Sharing",17,3.98,3,40,710600,2025
Shop Titans,78,16900,2020-05-05,"Kabam Games, Inc.","Crafting, RPG, Simulation, Management, Building",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Ukrainian",0.0,"Single-player, MMO, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",10,2.9,2,45,3100000,2020
Knight Online,50,10881,2016-01-26,Noah System,"MMORPG, Action, Adventure",win,"English, Turkish",0.0,"Single-player, MMO, Steam Trading Cards, In-App Purchases",13,2.64,5,80,2030000,2016
Call of Duty®: Warzone™,31,44778,2022-11-16,Infinity Ward,"FPS, Action, Survival",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",0.0,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, In-App Purchases",17,2.88,3,19,70450000,2022
Insurgency: Sandstorm,85,98438,2018-12-12,New World Interactive,"FPS, Realistic, War, Tactical",win,"English, French, Italian, German, Simplified Chinese, Russian, Spanish - Latin America, Spanish - Spain, Traditional Chinese, Korean, Danish, Finnish, Hungarian, Japanese, Norwegian, Dutch, Polish, Portuguese - Portugal, Portuguese - Brazil, Swedish, Czech, Thai, Turkish",20.99,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",17,3.78,4,59,6040000,2018
Diablo® IV,71,36156,2023-10-17,"Blizzard Entertainment, Inc.","Action, RPG, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Turkish",49.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",17,3.7,4,71,1540000,2023
Conqueror's Blade,68,34150,2020-04-06,Booming Tech,"Combat, MMORPG, Action, War, Strategy, Sandbox",win,"English, Simplified Chinese, Traditional Chinese, Spanish - Spain, Japanese, Thai, Vietnamese, Korean, Portuguese - Brazil, Spanish - Latin America, French, German, Polish, Russian, Turkish",0.0,"MMO, Online PvP, Online Co-op, Steam Achievements, In-App Purchases",13,3.13,1,4,3130000,2020
Dead Island 2,77,9355,2024-04-22,Dambuster Studios,"FPS, Adventure, Horror, Crafting, Survival",win,"English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",37.49,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.34,3,26,761600,2024
Assassin's Creed® Origins,85,104597,2017-10-27,Ubisoft Montreal,"Open World, Action, RPG, Stealth",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",47.99,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, In-App Purchases, Remote Play on Tablet, HDR available",17,4.01,3,64,5960000,2017
The Elder Scrolls IV: Oblivion Remastered,81,44197,2025-04-22,Bethesda Game Studios,"RPG, Open World, Fantasy, Adventure, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Simplified Chinese",34.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.19,3,64,2280000,2025
Hearts of Iron IV,91,237186,2016-06-06,Paradox Development Studio,"Strategy, War, Simulation, Sandbox","win, mac, linux","English, French, German, Polish, Portuguese - Brazil, Russian, Spanish - Spain, Japanese, Simplified Chinese",29.99,"Single-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",10,3.7,4,74,11460000,2016
Dying Light,95,337287,2015-01-26,Techland,"Survival, Horror, RPG, Open World, Crafting, Action",win,"English, French, Italian, German, Spanish - Spain, Dutch, Polish, Portuguese - Brazil, Russian, Korean, Simplified Chinese, Spanish - Latin America, Japanese, Thai, Traditional Chinese, Turkish, Czech",19.49,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,3.78,3,41,19550000,2015
Delta Force,63,110910,2024-12-05,Team Jade,"FPS, Action, Tactical",win,"English, Simplified Chinese, French, German, Russian, Spanish - Latin America, Arabic, Japanese, Korean, Portuguese - Brazil, Traditional Chinese, Turkish",0.0,"Single-player, MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",13,3.03,4,80,189300,2024
Black Myth: Wukong,96,834314,2024-08-20,Game Science,"RPG, Action, Souls-like, Fantasy",win,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Italian, Turkish, Thai",59.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.79,4,45,70830000,2024
Stray,97,139200,2022-07-19,BlueTwelve Studio,"Adventure, Open World, Cute, Stealth","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Dutch, Portuguese - Portugal",14.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",10,3.84,2,8,5390000,2022
Call of Duty®: Black Ops 6,45,11721,2024-10-25,Treyarch,"Action, FPS",win,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Russian, Traditional Chinese, Japanese, Spanish - Latin America, Arabic, Simplified Chinese, Portuguese - Brazil",69.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, In-App Purchases",17,3.6,3,28,70450000,2024
Path of Exile 2,72,126639,2024-12-06,Grinding Gear Games,"Action, Adventure, RPG, Souls-like",win,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Thai",29.99,"Single-player, MMO, Online Co-op, HDR available",17,4.36,4,73,7000000,2024
